run,operation,started,time,status,label,batch_size,epochs,tsample,tsr_stop,sc_true,sc_false,lr,theta,tauRho,sample_file,hidden_size,loss_type,output_size,finger_type,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,bin_duration,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path
703a4296,vtsnn6:tact-snn-2,2020-06-16 22:48:44,0:04:29,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_w_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,2,32,0,3,0,22.075000762939453,0.8333333134651184,71.7938461303711,0.4000000059604645,0.4000000059604645,0.8333333134651184,,,,,,,,,,
87274c37,vtsnn6:tac_rpg_2,2020-06-16 22:48:44,0:03:04,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_z_diag epochs=300 finger_type=1 lr=0.0001 sample_file=2,4,300,,,,,0.0001,,,2,,,,1,0.13904616236686707,0.9666666388511658,0.32079753279685974,0.5333333611488342,0.5333333611488342,0.9666666388511658,,,,,,,,,,
84c8ca2e,vtsnn6:tact-snn-2,2020-06-16 22:48:43,0:04:31,completed,batch_size=8 checkpoint_dir=. data_dir=/…/jun16_dummy_v_diag epochs=500 finger_type=0 hidden_size=32 loss_type=0 lr=0.001 output_size=3 sample_file=2 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,500,325,325,150,5,0.001,10,1,2,32,0,3,0,22.4003849029541,0.8333333134651184,68.2199935913086,0.3333333432674408,0.2666666805744171,0.8333333134651184,,,,,,,,,,
31d62c77,vtsnn6:tac_rpg_2,2020-06-16 22:48:41,0:03:13,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_x_diag epochs=300 finger_type=1 lr=0.0001 sample_file=2,4,300,,,,,0.0001,,,2,,,,1,0.14256179332733154,0.9333333373069763,0.3295133709907532,0.5333333611488342,0.46666666865348816,0.9333333373069763,,,,,,,,,,
087a804e,vtsnn6:tac_rpg_2,2020-06-16 22:48:39,0:03:21,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_y_diag epochs=300 finger_type=1 lr=0.0001 sample_file=2,4,300,,,,,0.0001,,,2,,,,1,0.20306816697120667,0.800000011920929,0.27411696314811707,0.5333333611488342,0.46666666865348816,0.800000011920929,,,,,,,,,,
3c37374d,vtsnn6:tac_rpg_2,2020-06-16 22:48:27,0:03:13,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_w_diag epochs=300 finger_type=1 lr=0.0001 sample_file=2,4,300,,,,,0.0001,,,2,,,,1,0.15271805226802826,0.8666666746139526,0.29533660411834717,0.46666666865348816,0.4000000059604645,0.8666666746139526,,,,,,,,,,
a7652090,vtsnn6:tac_rpg_2,2020-06-16 22:48:06,0:03:20,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_v_diag epochs=300 finger_type=1 lr=0.0001 sample_file=2,4,300,,,,,0.0001,,,2,,,,1,0.18106214702129364,0.8999999761581421,0.2440987378358841,0.6666666865348816,0.6000000238418579,0.8333333134651184,,,,,,,,,,
43e24ceb,vtsnn6:tac_rpg_2,2020-06-16 22:46:55,0:03:38,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_v_diag epochs=300 finger_type=1 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,1,0.1862567514181137,0.8999999761581421,0.2525850832462311,0.6000000238418579,0.6000000238418579,0.8999999761581421,,,,,,,,,,
4645ec83,vtsnn6:tac_rpg_2,2020-06-16 22:46:38,0:03:29,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_x_diag epochs=300 finger_type=1 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,1,0.17758922278881073,0.9333333373069763,0.27068692445755005,0.5333333611488342,0.46666666865348816,0.9333333373069763,,,,,,,,,,
c641e979,vtsnn6:tac_rpg_2,2020-06-16 22:46:38,0:03:27,completed,batch_size=4 checkpoint_dir=. data_dir=/…/jun16_dummy_y_diag epochs=300 finger_type=1 lr=0.0001 sample_file=3,4,300,,,,,0.0001,,,3,,,,1,0.2021431028842926,0.800000011920929,0.25873449444770813,0.6000000238418579,0.5333333611488342,0.7666666507720947,,,,,,,,,,
