run,operation,started,time,status,label,bin_duration,blacklist_path,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path,batch_size,epochs,lr,sample_file,output_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,tsample,tsr_stop,sc_true,sc_false,theta,tauRho,hidden_size,l1_loss_train,l2_loss_train,l1_loss_test,l2_loss_test,network,path,data_path,checkpoint_dir,data_dir,step,acc/test,acc/train,loss/test,loss/train,prob
c36c0dd3,vtsnn:tact,2020-04-09 01:50:54,0:33:23,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=64 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,4,,11.790019989013672,1.0,201.9411163330078,0.4714285731315613,0.4285714328289032,1.0,325,325,150,5,,,64,0.12711021304130554,1595.2694091796875,0.12782151997089386,1561.145263671875,,,,,,,,,,,
b4ba0290,vtsnn:tac_rpg,2020-04-09 01:05:43,0:05:11,completed,batch_size=4 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=100 lr=0.0001 sample_file=4,,,,,,,,,,,,4,100,0.0001,4,,0.032737910747528076,0.9964285492897034,0.2605116069316864,0.6285714507102966,0.6071428656578064,0.9964285492897034,,,,,,,,,,,,,,,,,,,,,,
a8c7f3f7,vtsnn:tact,2020-04-09 01:00:48,0:52:51,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=32 lr=0.0001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.0001,4,,116.43962097167969,0.8785714507102966,199.02708435058594,0.4000000059604645,0.3857142925262451,0.8714285492897034,325,325,150,5,,,32,0.09272202104330063,850.796875,0.09141093492507935,795.5055541992188,,,,,,,,,,,
8f2fb1ba,vtsnn:tac_rpg,2020-04-09 01:00:35,0:05:08,completed,batch_size=4 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=100 lr=0.0001 sample_file=1,,,,,,,,,,,,4,100,0.0001,1,,0.028316253796219826,0.9964285492897034,0.33513620495796204,0.6214285492897034,0.6000000238418579,0.9964285492897034,,,,,,,,,,,,,,,,,,,,,,
94e4cd3d,vtsnn:tact,2020-04-09 00:59:29,0:51:25,completed,batch_size=8 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=2000 hidden_size=64 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,,,,,,,,,,,,8,2000,0.001,1,,11.601670265197754,1.0,210.02601623535156,0.48571428656578064,0.3571428656578064,1.0,325,325,150,5,,,64,0.1342470347881317,1659.805419921875,0.13194812834262848,1636.1556396484375,,,,,,,,,,,
2d0b1fbe,vtsnn:tac_rpg,2020-04-09 00:59:20,0:00:00,error,"batch_size=4 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=100 lr=0.0001 sample_file='[1,4['",,,,,,,,,,,,4,100,0.0001,"[1,4[",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
b83733fe,vtsnn:tac_rpg,2020-04-09 00:58:25,0:00:30,terminated,batch_size=4 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=100 lr=0.0001 sample_file=1,,,,,,,,,,,,4,100,0.0001,1,,0.2608444094657898,0.6214285492897034,0.32658424973487854,0.5071428418159485,0.5071428418159485,0.6214285492897034,,,,,,,,,,,,,,,,,,,,,,
da81f898,vtsnn:tac_rpg,2020-04-09 00:57:34,0:00:04,error,batch_size=4 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=100 lr=0.0001 sample_file=1,,,,,,,,,,,,4,100,0.0001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6cf3dc6a,vtsnn:tac_rpg,2020-04-09 00:54:45,0:00:04,error,batch_size=4 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=100 lr=0.0001 sample_file=1,,,,,,,,,,,,4,100,0.0001,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
393a23dd,vtsnn:tac_rpg,2020-04-09 00:54:45,,staged,batch_size=4 checkpoint_dir=. data_dir=/…/data_VT_SNN_2 epochs=100 lr=0.0001 sample_file=4,,,,,,,,,,,,4,100,0.0001,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
