run,operation,started,time,status,label,batch_size,epochs,lr,sample_file,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,checkpoint_dir,data_dir,hidden_size,step,acc/test,acc/train,loss/test,loss/train,sc_false,sc_true,tsample,tsr_stop,l1_loss/test,l1_loss/train,l2_loss/test,l2_loss/train,output_size
44345d94,vtsnn:tac_rpg,2020-03-11 17:57:55,0:00:59,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=40 lr=0.0001 sample_file=2,4,40,0.0001,2,0.006755086127668619,1.0,0.2138938158750534,0.7666666507720947,0.7666666507720947,1.0,,,,,,,,,,,,,,,,,
585783f5,vtsnn:tac_rpg,2020-03-11 17:56:56,0:00:58,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=40 lr=0.0001 sample_file=2,4,40,0.0001,2,0.0035956348292529583,1.0,0.2371019423007965,0.6833333373069763,0.6666666865348816,1.0,,,,,,,,,,,,,,,,,
13a00f72,vtsnn:tac_rpg,2020-03-11 17:55:58,0:00:58,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=40 lr=0.0001 sample_file=1,4,40,0.0001,1,0.00854574516415596,1.0,0.1675761491060257,0.7833333611488342,0.7666666507720947,1.0,,,,,,,,,,,,,,,,,
47875f7b,vtsnn:tac_rpg,2020-03-11 17:55:01,0:00:56,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=40 lr=0.0001 sample_file=1,4,40,0.0001,1,0.010539374314248562,1.0,0.17677722871303558,0.7833333611488342,0.7166666388511658,1.0,,,,,,,,,,,,,,,,,
2ee90d8e,vtsnn:tac_rpg,2020-03-11 17:55:01,,staged,batch_size=4 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=40 lr=0.0001 sample_file=5,4,40,0.0001,5,,,,,,,,,,,,,,,,,,,,,,,
75d42b48,vtsnn:tac_rpg,2020-03-11 17:55:01,,staged,batch_size=4 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=40 lr=0.0001 sample_file=5,4,40,0.0001,5,,,,,,,,,,,,,,,,,,,,,,,
180d47f3,vtsnn:tac_rpg,2020-03-11 17:52:17,0:00:56,completed,batch_size=4 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=40 lr=0.0001 sample_file=1,4,40,0.0001,1,0.012317669577896595,1.0,0.1538040190935135,0.7833333611488342,0.7666666507720947,1.0,,,,,,,,,,,,,,,,,
9c39080b,vtsnn:mm_ann,2020-03-10 23:12:21,0:19:40,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=5,8,400,0.0001,5,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.3499999940395355,1.0,0.6422133445739746,6.95387525340152e-09,,,,,,,,,
06a2c517,vtsnn:viz_ann,2020-03-10 22:57:11,0:21:43,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=5,8,400,0.0001,5,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.3499999940395355,1.0,0.5570454597473145,4.520018990206154e-07,,,,,,,,,
5d3d6d35,vtsnn:mm_ann,2020-03-10 22:52:34,0:19:47,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=5,8,400,0.0001,5,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,400,0.30000001192092896,1.0,0.7065995931625366,7.748603536583687e-08,,,,,,,,,
30dd8d7f,vtsnn:viz_ann,2020-03-10 22:35:32,0:21:38,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=5,8,400,0.0001,5,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,400,0.4000000059604645,1.0,0.5212433338165283,4.6193599700927734e-07,,,,,,,,,
925d5739,vtsnn:mm_ann,2020-03-10 22:32:56,0:19:38,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=5,8,400,0.0001,5,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,400,0.44999998807907104,1.0,0.6464856863021851,2.8808910812472277e-08,,,,,,,,,
c8416dcf,vtsnn:viz_ann,2020-03-10 22:13:56,0:21:35,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=5,8,400,0.0001,5,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.3499999940395355,1.0,0.4417981505393982,4.1276217643826385e-07,,,,,,,,,
fe46b324,vtsnn:mm_ann,2020-03-10 22:13:24,0:19:31,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=4,8,400,0.0001,4,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.38333332538604736,1.0,0.47422507405281067,2.5928019908860733e-07,,,,,,,,,
5f2d92be,vtsnn:mm_ann,2020-03-10 21:53:57,0:19:26,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=4,8,400,0.0001,4,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,400,0.4833333194255829,1.0,0.4777747392654419,4.22199555316638e-08,,,,,,,,,
067a6c1a,vtsnn:viz_ann,2020-03-10 21:52:13,0:21:42,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=4,8,400,0.0001,4,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.3499999940395355,1.0,0.40750718116760254,6.655852189396683e-07,,,,,,,,,
96bf2149,vtsnn:mm_ann,2020-03-10 21:34:41,0:19:15,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=4,8,400,0.0001,4,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.4000000059604645,1.0,0.6851995587348938,7.276733526850876e-07,,,,,,,,,
71364e9f,vtsnn:viz_ann,2020-03-10 21:30:44,0:21:29,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=4,8,400,0.0001,4,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,400,0.46666666865348816,1.0,0.3806907534599304,3.680586928567209e-07,,,,,,,,,
fbe3f861,vtsnn:mm_ann,2020-03-10 21:15:34,0:19:06,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=3,8,400,0.0001,3,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.4000000059604645,1.0,0.5119427442550659,1.197060015556417e-07,,,,,,,,,
868e1f11,vtsnn:viz_ann,2020-03-10 21:09:11,0:21:33,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=4,8,400,0.0001,4,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.4000000059604645,1.0,0.4719791114330292,3.2881897027436935e-07,,,,,,,,,
96e7c536,vtsnn:mm_ann,2020-03-10 20:56:25,0:19:08,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=3,8,400,0.0001,3,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.5333333611488342,1.0,0.3782998323440552,1.01327898960335e-07,,,,,,,,,
f314ce08,vtsnn:viz_ann,2020-03-10 20:47:35,0:21:35,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=3,8,400,0.0001,3,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.4333333373069763,1.0,0.3285442590713501,1.2169281262686127e-06,,,,,,,,,
8703f607,vtsnn:mm_ann,2020-03-10 20:37:35,0:18:50,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=3,8,400,0.0001,3,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,400,0.5,1.0,0.4270591139793396,8.642673776648735e-08,,,,,,,,,
10c416b6,vtsnn:viz_ann,2020-03-10 20:25:57,0:21:38,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=3,8,400,0.0001,3,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,400,0.5,1.0,0.3139907419681549,3.675619666410057e-07,,,,,,,,,
a2485011,vtsnn:mm_ann,2020-03-10 20:19:04,0:18:30,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=2,8,400,0.0001,2,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.46666666865348816,1.0,0.4588785171508789,5.364417887676609e-08,,,,,,,,,
c7bc7710,vtsnn:viz_ann,2020-03-10 20:04:29,0:21:27,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=3,8,400,0.0001,3,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.4000000059604645,1.0,0.4002969563007355,3.2385190706918365e-07,,,,,,,,,
7c78b7f9,vtsnn:mm_ann,2020-03-10 20:00:33,0:18:30,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=2,8,400,0.0001,2,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,399,0.4833333194255829,1.0,0.5737334489822388,9.735425265944286e-08,,,,,,,,,
07afb34f,vtsnn:viz_ann,2020-03-10 19:42:39,0:21:49,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=400 hidden_size=30 lr=0.0001 sample_file=2,8,400,0.0001,2,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,30,400,0.5,1.0,0.3726896047592163,3.998478348421486e-07,,,,,,,,,
