run,operation,started,time,status,label,batch_size,prob,epochs,tsample,tsr_stop,sc_true,sc_false,lr,sample_file,theta,tauRho,loss_type,loss_train,max_acc_train,loss_test,acc_test,acc_train,max_acc_test,hidden_size,path,bin_duration,blacklist_path,modes,n_sample_per_object,remove_outlier,save_dir,selection,tactile_path,threshold,trajectory_path,video_path,checkpoint_dir,data_dir,step,acc/test,acc/train,loss/test,loss/train,output_size,weightFunction,l1_loss/test,l1_loss/train,l2_loss/test,l2_loss/train,tsr_start
ce36d214,vtsnn:mm,2020-04-26 01:17:53,0:14:22,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_start=0 tsr_stop=325,8,,500,325,325,150,5,0.001,4,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.8666666746139526,1.0,62.1390380859375,0.4086667597293854,20,,0.33078014850616455,0.32621654868125916,5590.21728515625,5537.05712890625,0
8884abe5,vtsnn:mm,2020-04-26 00:04:57,0:13:37,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_start=0 tsr_stop=150,8,,500,325,150,150,5,0.001,4,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.5666666626930237,1.0,311.33587646484375,26.352529525756836,20,,0.4250101149082184,0.4213246703147888,9955.5009765625,9865.123046875,0
4ec41562,vtsnn:mm,2020-04-26 00:02:00,0:13:22,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=1 sc_false=5 sc_true=150 tsample=325 tsr_start=0 tsr_stop=150,8,,500,325,150,150,5,0.001,1,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.6000000238418579,1.0,417.56097412109375,26.054048538208008,20,,0.4005080759525299,0.4023275077342987,9358.48828125,9555.244140625,0
2fd87de2,vtsnn:mm2,2020-04-24 05:51:08,0:15:19,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=5 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,5,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.7666666507720947,1.0,14686250.0,586772.625,20,,0.38265568017959595,0.3832978308200836,8123.61181640625,8425.9638671875,
9b3e4d42,vtsnn:tact2,2020-04-24 05:48:37,0:16:25,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=5 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,,2000,325,325,150,5,0.001,5,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,2000,0.699999988079071,0.9541666507720947,21475288.0,18818762.0,20,,0.3512890338897705,0.35492146015167236,8418.6015625,8606.8515625,
67441ddf,vtsnn:mm2,2020-04-24 05:35:42,0:15:26,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,4,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.8166666626930237,1.0,12284055.0,603846.75,20,,0.38752931356430054,0.3864003121852875,8039.6337890625,8305.3505859375,
4fad84ea,vtsnn:tact2,2020-04-24 05:32:15,0:16:21,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,,2000,325,325,150,5,0.001,4,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,2000,0.6333333253860474,0.925000011920929,22052492.0,18717942.0,20,,0.3571273982524872,0.35340189933776855,8622.701171875,8553.6513671875,
ed8abc95,vtsnn:mm2,2020-04-24 05:20:15,0:15:26,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=3 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,3,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.8500000238418579,1.0,13651134.0,590366.5,20,,0.3945862054824829,0.39237484335899353,8102.3359375,8397.919921875,
493f279a,vtsnn:tact2,2020-04-24 05:15:52,0:16:22,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=2000 hidden_size=32 lr=0.001 output_size=20 sample_file=3 sc_false=5 sc_true=150 tauRho=1 theta=10 tsample=325 tsr_stop=325,8,,2000,325,325,150,5,0.001,3,10,1,,,,,,,,32,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN/,2000,0.7833333611488342,0.9416666626930237,21578438.0,18803326.0,20,,0.3611298203468323,0.355899453163147,8610.021484375,8582.5478515625,
08b64b7d,vtsnn:mm2,2020-04-24 05:04:48,0:15:26,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=2 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,,500,325,325,150,5,0.001,2,,,,,,,,,,,,,,,,,,,,,,,.,/home/tasbolat/some_python_examples/data_VT_SNN,500,0.7166666388511658,1.0,16389509.0,593860.625,20,,0.38651734590530396,0.3812905251979828,8107.95166015625,8260.5673828125,
