run,operation,started,time,status,label,batch_size,lr,sample_file,epochs,hidden_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,output_size,tsample,tsr_stop,sc_true,sc_false,l1_loss_train,l2_loss_train,l1_loss_test,l2_loss_test,network,path,bin_duration,data_path,save_dir,threshold,prob
d97c1621,vt_optimize:tact,2020-04-02 04:05:47,0:53:36,completed,batch_size=1 cuda=1 lr=0.5 sample_file=2,1,0.5,2,,,,,,,,,,,,,,,,,,,,,,,,
1aae9b10,vt_optimize:vis,2020-04-02 03:46:39,0:28:18,completed,batch_size=8 cuda=2 lr=0.01 sample_file=2,8,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
1676e669,vt_optimize:vis,2020-04-02 03:18:23,0:28:15,completed,batch_size=8 cuda=2 lr=0.005 sample_file=2,8,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
c2b279ce,vt_optimize:tact,2020-04-02 03:10:01,0:55:46,completed,batch_size=1 cuda=1 lr=0.1 sample_file=2,1,0.1,2,,,,,,,,,,,,,,,,,,,,,,,,
1d1cbc84,vt_optimize:vis,2020-04-02 02:50:15,0:28:08,completed,batch_size=8 cuda=2 lr=0.001 sample_file=2,8,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
fbc7dce4,vt_optimize:vis,2020-04-02 02:04:13,0:46:01,completed,batch_size=1 cuda=2 lr=0.05 sample_file=2,1,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
4e18fee8,vt_optimize:tact,2020-04-02 01:57:47,1:12:13,completed,batch_size=1 cuda=1 lr=0.0005 sample_file=2,1,0.0005,2,,,,,,,,,,,,,,,,,,,,,,,,
2b6d4194,vt_optimize:vis,2020-04-02 01:18:29,0:45:43,completed,batch_size=1 cuda=2 lr=0.01 sample_file=2,1,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
eea465ff,vt_optimize:vis,2020-04-02 00:36:13,0:42:16,completed,batch_size=1 cuda=2 lr=0.005 sample_file=2,1,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
1540704c,vt_optimize:tact,2020-04-02 00:34:40,1:23:06,completed,batch_size=1 cuda=1 lr=0.0001 sample_file=2,1,0.0001,2,,,,,,,,,,,,,,,,,,,,,,,,
0d5db4b9,vt_optimize:vis,2020-04-02 00:11:21,0:24:51,completed,batch_size=1 cuda=2 lr=0.001 sample_file=2,1,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
c59740ec,vt_optimize:tact,2020-04-02 00:09:42,0:05:34,completed,batch_size=256 cuda=1 lr=0.05 sample_file=2,256,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
7a8f3ce7,vt_optimize:tact,2020-04-02 00:05:12,0:04:29,completed,batch_size=256 cuda=1 lr=0.01 sample_file=2,256,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
a568051f,vt_optimize:tact,2020-04-02 00:00:50,0:04:21,completed,batch_size=256 cuda=1 lr=0.005 sample_file=2,256,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
850e8742,vt_optimize:tact,2020-04-01 23:56:40,0:04:10,completed,batch_size=256 cuda=1 lr=0.001 sample_file=2,256,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
000651d5,vt_optimize:tact,2020-04-01 23:52:39,0:04:00,completed,batch_size=128 cuda=1 lr=0.05 sample_file=2,128,0.05,2,,,,,,,,,,,,,,,,,,,,,,,,
415b92d7,vt_optimize:tact,2020-04-01 23:49:00,0:03:38,completed,batch_size=128 cuda=1 lr=0.01 sample_file=2,128,0.01,2,,,,,,,,,,,,,,,,,,,,,,,,
dd2f86e5,vt_optimize:tact,2020-04-01 23:45:32,0:03:27,completed,batch_size=128 cuda=1 lr=0.005 sample_file=2,128,0.005,2,,,,,,,,,,,,,,,,,,,,,,,,
aeecd0bb,vt_optimize:tact,2020-04-01 23:42:06,0:03:26,completed,batch_size=128 cuda=1 lr=0.001 sample_file=2,128,0.001,2,,,,,,,,,,,,,,,,,,,,,,,,
