run,operation,started,time,status,label,batch_size,epochs,lr,sample_file,hidden_size,loss_train,max_acc_train,loss_test,max_acc_test,acc_test,acc_train,tsample,tsr_stop,sc_true,sc_false,l1_loss_train,l2_loss_train,l1_loss_test,l2_loss_test,network,path,bin_duration,data_path,save_dir,threshold,prob
2abb774f,vtsnn:mm,2020-03-06 19:59:48,0:40:40,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,4,,0.5790769457817078,1.0,69.48211669921875,0.8833333253860474,0.8500000238418579,1.0,325,325,150,5,0.34977981448173523,6577.3046875,0.34903255105018616,6484.564453125,,,,,,,
ce43a04c,vtsnn:viz,2020-03-06 19:41:31,0:32:36,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.01 output_size=20 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,4,,43.21625518798828,1.0,141.23806762695312,0.7666666507720947,0.5833333134651184,0.9458333253860474,325,325,150,5,0.11758960783481598,1555.8572998046875,0.11766394227743149,1535.7891845703125,,,,,,,
8e8cbd53,vtsnn:tact,2020-03-06 19:13:45,0:31:18,completed,batch_size=8 checkpoint_dir=/…/logged_models data_dir=/home/…/data_VT_SNN epochs=500 hidden_size=32 lr=0.01 sample_file=5 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,5,32,21.54533576965332,1.0,110.74884033203125,0.7833333611488342,0.75,0.9750000238418579,325,325,150,5,0.2021390050649643,4493.9765625,0.2021259069442749,4358.9091796875,,,,,,,
7be17fca,vtsnn:mm,2020-03-06 19:13:44,0:47:43,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=3 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,3,,1.5480512380599976,1.0,95.55326080322266,0.75,0.7166666388511658,1.0,325,325,150,5,0.3211432099342346,5592.30126953125,0.3195613920688629,5433.49609375,,,,,,,
f3349397,vtsnn:mm,2020-03-06 19:13:36,0:49:03,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=3 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,3,,0.6816410422325134,1.0,83.849609375,0.8666666746139526,0.800000011920929,1.0,325,325,150,5,0.33161863684654236,6304.68603515625,0.32732418179512024,6077.88671875,,,,,,,
498b8d03,vtsnn:mm,2020-03-06 19:11:33,0:48:14,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=3 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,3,,0.29753848910331726,1.0,72.49269104003906,0.8833333253860474,0.8333333134651184,1.0,325,325,150,5,0.3136190176010132,5416.82421875,0.31175851821899414,5270.1201171875,,,,,,,
f2b77119,vtsnn:mm,2020-03-06 19:11:29,0:49:38,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.001 output_size=20 sample_file=3 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.001,3,,1.1442561149597168,1.0,73.06537628173828,0.9333333373069763,0.8999999761581421,1.0,325,325,150,5,0.3139555752277374,5328.5302734375,0.3091839849948883,5108.2109375,,,,,,,
f62b71f7,vtsnn:viz,2020-03-06 18:44:10,0:57:21,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.01 output_size=20 sample_file=3 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,3,,27.579898834228516,1.0,119.5167236328125,0.7333333492279053,0.6833333373069763,0.987500011920929,325,325,150,5,0.11777736991643906,1558.8477783203125,0.11690913885831833,1522.8817138671875,,,,,,,
036bc9d2,vtsnn:tact,2020-03-06 18:25:26,0:48:17,completed,batch_size=8 checkpoint_dir=/…/logged_models data_dir=/home/…/data_VT_SNN epochs=500 hidden_size=32 lr=0.01 sample_file=4 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,4,32,0.8971795439720154,1.0,114.20672607421875,0.7333333492279053,0.7333333492279053,1.0,325,325,150,5,0.1818505823612213,4249.9033203125,0.18272987008094788,4193.76171875,,,,,,,
7936d875,vtsnn:viz,2020-03-06 17:57:40,1:14:12,completed,batch_size=8 checkpoint_dir=. data_dir=/home/…/data_VT_SNN epochs=500 lr=0.01 output_size=20 sample_file=5 sc_false=5 sc_true=150 tsample=325 tsr_stop=325,8,500,0.01,5,,40.41881561279297,1.0,132.86114501953125,0.699999988079071,0.6166666746139526,0.949999988079071,325,325,150,5,0.1179194301366806,1560.411376953125,0.11649861931800842,1519.9837646484375,,,,,,,
